Row,MutualSVM,Fsa,ReliefLogist,ReliefFsa,FisherSVM,GiniFsa,MutualFsa,SVM,GiniSVM,FisherFsa,Chi2Fsa,Chi2SVM,MutualLogist,FisherLogist,TscoreSVM,MrmrFsa,MrmrSVM,TscoreFsa,TscoreLogist,Chi2Logist,GiniLogist,MrmrLogist,ReliefBoostedDT,ReliefNaiveB,ReliefSVM,FisherBoostedDT,LogisticReg,MutualBoostedDT,TscoreBoostedDT,GiniBoostedDT,MrmrBoostedDT,FisherNaiveB,Chi2BoostedDT,MutualNaiveB,BoostedDT,MrmrNaiveB,TscoreNaiveB,Chi2NaiveB,GiniNaiveB,NaiveBayes
Chi2Logist,<0.05,<0.05,<0.05,0.078,0.0985,0.2076,0.0962,0.1338,0.124,0.3571,0.4173,0.2503,0.2743,0.3178,0.5183,0.5705,0.6321,0.6796,0.6601,1,0.9872,0.9464,0.6858,0.45,0.4676,0.2335,0.1123,0.1618,0.1475,0.1068,<0.05,0.081,0.0675,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniLogist,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.147,0.1959,<0.05,0.1282,<0.05,0.0983,0.1611,0.3088,0.3026,0.4977,0.9872,1,0.8891,0.6642,0.2734,0.1882,0.0899,0.0514,<0.05,0.1141,0.0522,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MrmrLogist,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.05,<0.05,0.158,<0.05,<0.05,<0.05,0.1375,<0.05,0.3739,0.9464,0.8891,1,0.6397,0.1939,0.2377,0.0647,0.0839,<0.05,0.105,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefBoostedDT,0.082,0.0549,0.0924,0.1145,0.1385,0.2619,0.178,0.2023,0.2655,0.2412,0.2519,0.2678,0.3538,0.3166,0.3792,0.3859,0.4254,0.4344,0.349,0.6858,0.6642,0.6397,1,0.9865,0.8957,0.7546,0.5772,0.3642,0.4242,0.2899,0.2454,0.2048,0.2922,0.059,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1008,<0.05,0.0591,<0.05,0.0982,<0.05,0.127,0.45,0.2734,0.1939,0.9865,1,0.8083,0.4215,0.4049,0.0655,0.0917,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefSVM,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0611,0.0991,<0.05,0.0627,0.1419,<0.05,0.0681,0.0704,0.1339,0.0868,0.1537,0.4676,0.1882,0.2377,0.8957,0.8083,1,0.7872,0.4507,0.1073,0.2577,0.1158,0.1233,<0.05,0.0906,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherBoostedDT,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.2335,0.0899,0.0647,0.7546,0.4215,0.7872,1,0.6067,0.3877,0.3812,0.268,0.2048,0.1086,0.1029,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
LogisticReg,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0529,0.0515,0.0811,0.1123,0.0514,0.0839,0.5772,0.4049,0.4507,0.6067,1,0.8156,0.7651,0.6321,0.608,0.4213,0.4209,0.0509,0.1193,<0.05,<0.05,<0.05,<0.05,<0.05
MutualBoostedDT,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0511,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1618,<0.05,<0.05,0.3642,0.0655,0.1073,0.3877,0.8156,1,0.792,0.5133,0.5613,0.4071,0.3055,<0.05,0.0524,<0.05,<0.05,<0.05,<0.05,<0.05
TscoreBoostedDT,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.052,<0.05,<0.05,0.0831,<0.05,0.0672,0.0555,0.085,0.0607,0.098,0.1475,0.1141,0.105,0.4242,0.0917,0.2577,0.3812,0.7651,0.792,1,0.8055,0.6442,0.7945,0.2673,0.0913,0.1634,<0.05,<0.05,<0.05,<0.05,<0.05
