Row,MutualLogist,Chi2BoostedDT,Chi2Logist,GiniLogist,GiniBoostedDT,MutualBoostedDT,BoostedDT,FisherLogist,MutualSVM,TscoreLogist,MrmrLogist,MrmrSVM,TscoreBoostedDT,FisherBoostedDT,MrmrBoostedDT,SVM,TscoreSVM,MutualFsa,Chi2Fsa,GiniFsa,TscoreFsa,MrmrFsa,FisherFsa,Chi2SVM,GiniSVM,LogisticReg,Fsa,FisherSVM,ReliefBoostedDT,ReliefFsa,ReliefLogist,MutualNaiveB,MrmrNaiveB,Chi2NaiveB,GiniNaiveB,TscoreNaiveB,FisherNaiveB,ReliefNaiveB,ReliefSVM,NaiveBayes
MutualFsa,<0.05,<0.05,<0.05,<0.05,<0.05,0.0643,0.1102,0.1932,0.3373,0.0801,0.277,0.2132,0.3817,0.3817,0.4373,0.4631,0.9025,1,0.5927,0.5916,0.312,0.1974,0.1803,0.2303,0.2066,0.3627,0.0519,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2Fsa,<0.05,<0.05,<0.05,<0.05,0.0941,<0.05,<0.05,<0.05,0.1578,0.0557,0.1571,0.183,0.217,0.217,0.3105,0.1405,0.5464,0.5927,1,0.7663,0.6093,0.4777,0.4525,0.3301,0.3347,0.3073,0.1408,0.0962,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniFsa,<0.05,<0.05,<0.05,<0.05,0.0957,<0.05,<0.05,<0.05,0.1613,0.0606,0.1643,0.1847,0.2184,0.2184,0.3113,0.1497,0.5491,0.5916,0.7663,1,0.6252,0.4971,0.4701,0.3316,0.3365,0.3187,0.1522,0.1007,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
TscoreFsa,<0.05,<0.05,<0.05,<0.05,0.0628,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1075,0.1075,0.1278,<0.05,<0.05,0.312,0.6093,0.6252,1,0.9579,0.9108,0.717,0.6916,0.5715,0.3423,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MrmrFsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1063,<0.05,<0.05,0.072,<0.05,<0.05,0.0813,<0.05,0.3355,0.1974,0.4777,0.4971,0.9579,1,0.3832,0.7565,0.7181,0.6712,<0.05,0.1096,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherFsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1087,<0.05,<0.05,0.0713,<0.05,<0.05,0.0755,<0.05,0.3297,0.1803,0.4525,0.4701,0.9108,0.3832,1,0.809,0.7693,0.7118,<0.05,0.1225,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2SVM,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0757,<0.05,0.1197,<0.05,<0.05,<0.05,0.1188,0.1051,0.2781,0.2303,0.3301,0.3316,0.717,0.7565,0.809,1,0.6405,0.8671,0.6757,0.1924,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniSVM,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0795,<0.05,0.1228,<0.05,<0.05,<0.05,0.1239,0.1092,0.2825,0.2066,0.3347,0.3365,0.6916,0.7181,0.7693,0.6405,1,0.9059,0.7344,0.2201,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
LogisticReg,<0.05,<0.05,<0.05,<0.05,0.0986,<0.05,<0.05,<0.05,<0.05,<0.05,0.0581,0.1692,0.1796,0.1796,0.2196,0.066,0.1403,0.3627,0.3073,0.3187,0.5715,0.6712,0.7118,0.8671,0.9059,1,0.8963,0.3008,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Fsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1103,0.0519,0.1408,0.1522,0.3423,<0.05,<0.05,0.6757,0.7344,0.8963,1,0.1792,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherSVM,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0962,0.1007,<0.05,0.1096,0.1225,0.1924,0.2201,0.3008,0.1792,1,0.0726,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefBoostedDT,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0726,1,0.3112,0.0961,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefFsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.3112,1,0.1489,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefLogist,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0961,0.1489,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MrmrNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,0.9292,0.9292,0.0831,0.0971,<0.05,<0.05,<0.05
Chi2NaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.9292,1,1,0.8181,0.7746,<0.05,<0.05,<0.05
GiniNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.9292,1,1,0.8181,0.7746,<0.05,<0.05,<0.05
TscoreNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0831,0.8181,0.8181,1,0.3559,<0.05,<0.05,<0.05
FisherNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0971,0.7746,0.7746,0.3559,1,<0.05,<0.05,<0.05
ReliefNaiveB,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05,<0.05
ReliefSVM,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,0.3224
NaiveBayes,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.3224,1
